www.google.com,142.250.191.100,API
www.nothere.com,199.188.206.3,API
www.google.com,142.250.191.100,CACHE
www.youtube.com,142.250.190.142,API
www.instagram.com,57.144.104.34,API
www.youtube.com,142.250.190.142,CACHE
www.instagram.com,57.144.104.34,CACHE
www.nothere.no,Host Not Found,API
lkjfalfkjfd,Host Not Found,API
www.hello.com,216.239.34.21,API
www.sup.com,81.19.70.4,API
www.sup.com,81.19.70.4,CACHE
www.hello.com,216.239.34.21,CACHE
www.google.com,142.250.191.100,CACHE
www.nothere.no,Host Not Found,API
www.nothere.com,199.188.206.3,CACHE
